case_name,case_prefix,component,damage_state,damage_state_name,rows,proportion,source_path
I0_PHASE1_INDEPENDENT,i0,structural,0,,3290326,0.65857889153539761,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
I0_PHASE1_INDEPENDENT,i0,structural,1,Slight,867776,0.17369067872940894,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
I0_PHASE1_INDEPENDENT,i0,structural,2,Moderate,644196,0.12893977302295792,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
I0_PHASE1_INDEPENDENT,i0,structural,3,Extensive,141613,0.028344708872920878,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
I0_PHASE1_INDEPENDENT,i0,structural,4,Complete,52189,0.010445947839314665,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
I0_PHASE1_INDEPENDENT,i0,nsd,0,,3449445,0.69042753347611141,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
I0_PHASE1_INDEPENDENT,i0,nsd,1,Slight,654132,0.13092852424891416,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
I0_PHASE1_INDEPENDENT,i0,nsd,2,Moderate,677450,0.13559576469646323,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
I0_PHASE1_INDEPENDENT,i0,nsd,3,Extensive,131878,0.026396189027441404,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
I0_PHASE1_INDEPENDENT,i0,nsd,4,Complete,83195,0.016651988551069835,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
I0_PHASE1_INDEPENDENT,i0,nsa,0,,2366776,0.47372470527011068,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
I0_PHASE1_INDEPENDENT,i0,nsa,1,Slight,764806,0.15308060287023878,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
I0_PHASE1_INDEPENDENT,i0,nsa,2,Moderate,783016,0.15672544584776124,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
I0_PHASE1_INDEPENDENT,i0,nsa,3,Extensive,603858,0.12086587538279858,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
I0_PHASE1_INDEPENDENT,i0,nsa,4,Complete,477644,0.095603370629090689,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C1_ALDEA22_SUBDUCTION,c1,structural,0,,3287746,0.6580624887412182,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C1_ALDEA22_SUBDUCTION,c1,structural,1,Slight,867719,0.17367926983046778,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C1_ALDEA22_SUBDUCTION,c1,structural,2,Moderate,647392,0.12957947198815076,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C1_ALDEA22_SUBDUCTION,c1,structural,3,Extensive,141250,0.02827205220071656,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C1_ALDEA22_SUBDUCTION,c1,structural,4,Complete,51993,0.010406717239446769,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C1_ALDEA22_SUBDUCTION,c1,nsd,0,,3445422,0.68962230539821057,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C1_ALDEA22_SUBDUCTION,c1,nsd,1,Slight,655044,0.13111106663197294,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C1_ALDEA22_SUBDUCTION,c1,nsd,2,Moderate,680300,0.13616620964352194,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C1_ALDEA22_SUBDUCTION,c1,nsd,3,Extensive,132708,0.026562318608514643,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C1_ALDEA22_SUBDUCTION,c1,nsd,4,Complete,82626,0.016538099717779867,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C1_ALDEA22_SUBDUCTION,c1,nsa,0,,2364371,0.47324332979724187,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C1_ALDEA22_SUBDUCTION,c1,nsa,1,Slight,762010,0.15252096635375592,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C1_ALDEA22_SUBDUCTION,c1,nsa,2,Moderate,782522,0.15662656872360442,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C1_ALDEA22_SUBDUCTION,c1,nsa,3,Extensive,607731,0.1216410800424331,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C1_ALDEA22_SUBDUCTION,c1,nsa,4,Complete,479466,0.095968055082964715,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C2_GODA_ATKINSON09,c2,structural,0,,3287591,0.65803146454234307,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C2_GODA_ATKINSON09,c2,structural,1,Slight,868055,0.17374652228738416,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C2_GODA_ATKINSON09,c2,structural,2,Moderate,647232,0.12954744700866677,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C2_GODA_ATKINSON09,c2,structural,3,Extensive,141340,0.028290066251676307,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C2_GODA_ATKINSON09,c2,structural,4,Complete,51882,0.010384499909929745,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C2_GODA_ATKINSON09,c2,nsd,0,,3445309,0.68959968775645009,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C2_GODA_ATKINSON09,c2,nsd,1,Slight,655389,0.13118012049398531,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C2_GODA_ATKINSON09,c2,nsd,2,Moderate,680472,0.13620063649646724,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C2_GODA_ATKINSON09,c2,nsd,3,Extensive,132469,0.026514481295410421,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C2_GODA_ATKINSON09,c2,nsd,4,Complete,82461,0.016505073957686994,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C2_GODA_ATKINSON09,c2,nsa,0,,2363669,0.4731028201997558,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C2_GODA_ATKINSON09,c2,nsa,1,Slight,762126,0.15254418446388182,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C2_GODA_ATKINSON09,c2,nsa,2,Moderate,783335,0.15678929565060748,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C2_GODA_ATKINSON09,c2,nsa,3,Extensive,608007,0.121696323132043,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
C2_GODA_ATKINSON09,c2,nsa,4,Complete,478963,0.0958673765537119,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv
